epoch (ms),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category
2019-01-11 15:10:08.400,0.01,0.964,-0.087,2.2865,-6.4025,-4.329000000000001,A,bench,heavy2
2019-01-11 15:10:08.500,0.0005,0.9675,-0.078,1.5443333333333333,-3.699333333333333,-1.382,A,bench,heavy2
2019-01-11 15:10:08.600,-0.012,0.971,-0.084,1.3415,-3.689,-2.104,A,bench,heavy2
2019-01-11 15:10:08.700,-0.013,0.954,-0.094,2.764,-1.0566666666666669,-3.353666666666667,A,bench,heavy2
2019-01-11 15:10:08.800,-0.017,0.902,-0.108,7.5,-4.1765,-6.9510000000000005,A,bench,heavy2
2019-01-11 15:10:08.900,-0.0335,0.8494999999999999,-0.1335,10.874333333333333,-1.9306666666666665,-14.004,A,bench,heavy2
2019-01-11 15:10:09.000,-0.049,0.875,-0.171,19.146,-7.7745,-10.183,A,bench,heavy2
2019-01-11 15:10:09.100,-0.075,0.871,-0.139,14.837333333333333,-2.195,-14.939333333333332,A,bench,heavy2
2019-01-11 15:10:09.200,-0.083,0.895,-0.174,17.805,-14.3295,-3.7804999999999995,A,bench,heavy2
2019-01-11 15:10:09.300,-0.1035,0.909,-0.16649999999999998,0.9553333333333333,-10.203333333333333,-2.5403333333333333,A,bench,heavy2
2019-01-11 15:10:09.400,-0.12,0.957,-0.183,-2.1035,-14.817,3.3840000000000003,A,bench,heavy2
2019-01-11 15:10:09.500,-0.111,0.969,-0.17,-1.1786666666666668,-13.333333333333334,11.036666666666667,A,bench,heavy2
2019-01-11 15:10:09.600,-0.099,0.966,-0.14,-2.5305,-17.713,20.7925,A,bench,heavy2
2019-01-11 15:10:09.700,-0.10700000000000001,1.182,-0.1405,-15.589333333333334,-9.776666666666666,7.195,A,bench,heavy2
2019-01-11 15:10:09.800,-0.159,1.51,-0.161,0.2135,7.4695,-17.1345,A,bench,heavy2
2019-01-11 15:10:09.900,-0.154,1.136,-0.117,-7.622,8.882333333333333,-22.601333333333333,A,bench,heavy2
2019-01-11 15:10:10.000,-0.139,0.918,-0.12,-6.494,15.183,-15.9755,A,bench,heavy2
2019-01-11 15:10:10.100,-0.1585,0.941,-0.1355,14.613999999999999,6.422666666666667,-3.109666666666666,A,bench,heavy2
2019-01-11 15:10:10.200,-0.158,0.936,-0.106,8.9025,6.4635,3.1094999999999997,A,bench,heavy2
2019-01-11 15:10:10.300,-0.158,0.95,-0.135,-3.2520000000000002,0.61,2.4593333333333334,A,bench,heavy2
2019-01-11 15:10:10.400,-0.147,0.957,-0.153,-5.183,2.8354999999999997,6.0975,A,bench,heavy2
2019-01-11 15:10:10.500,-0.123,0.9475,-0.14800000000000002,-0.5486666666666666,-3.1910000000000003,13.435,A,bench,heavy2
2019-01-11 15:10:10.600,-0.107,0.941,-0.123,-5.640000000000001,-1.494,17.652,A,bench,heavy2
2019-01-11 15:10:10.700,-0.092,0.964,-0.116,-11.138,0.5283333333333333,25.162666666666667,A,bench,heavy2
2019-01-11 15:10:10.800,-0.063,0.995,-0.092,-20.762,12.3475,36.494,A,bench,heavy2
2019-01-11 15:10:10.900,-0.009500000000000001,0.7745,-0.1255,-1.483666666666667,3.5773333333333337,12.479666666666667,A,bench,heavy2
2019-01-11 15:10:11.000,0.016,0.799,-0.154,13.902000000000001,-16.5855,-6.9815,A,bench,heavy2
2019-01-11 15:10:11.100,0.02,1.051,-0.08,6.138000000000001,-2.073333333333333,-1.4023333333333337,A,bench,heavy2
2019-01-11 15:10:11.200,0.013,1.013,-0.133,3.811,-3.3845,-6.0365,A,bench,heavy2
2019-01-11 15:10:11.300,0.004999999999999999,0.9255,-0.124,6.199000000000001,-4.613666666666666,-4.634,A,bench,heavy2
2019-01-11 15:10:11.400,-0.004,0.928,-0.135,7.439,-0.7015,-7.042999999999999,A,bench,heavy2
2019-01-11 15:10:11.500,-0.011,0.855,-0.174,12.540666666666667,-5.203,-15.040666666666667,A,bench,heavy2
2019-01-11 15:10:11.600,-0.036,0.795,-0.17,17.622,-5.9145,-16.4635,A,bench,heavy2
2019-01-11 15:10:11.700,-0.07250000000000001,0.844,-0.195,17.886,-4.634,-13.231666666666667,A,bench,heavy2
